catalogue_id,full_name,current_full_name,html_url,current_url,description,description_de,primary_category,category_label_en,category_label_de,scope_status,record_status,redirects_to,github_repository_id,github_status,homepage_url,is_archived,is_disabled,is_fork,default_branch,primary_language,license_spdx,topics,stargazers_count,forks_count,open_issues_count,created_at,pushed_at,updated_at,snapshot_date,github_metadata_captured_at
GHIAO-0011,davidfuhry/msc_thesis,davidfuhry/msc_thesis,https://github.com/davidfuhry/msc_thesis,https://github.com/davidfuhry/msc_thesis,Source repository for David Fuhrys master thesis on Image Based Digitization of Historical Music Storage Media,"Organologie, Instrumententaxonomie, Ontologien oder Sammlungsdaten.",organology_and_instrument_knowledge,Organology and instrument knowledge,Organologie und Instrumentenwissen,core,active,,512912632,available,,False,False,False,main,TeX,,"[""image-processing"",""latex"",""musicology"",""scientific-research""]",0,0,0,2022-07-11T21:24:11Z,2023-06-04T12:40:29Z,2023-06-04T11:21:09Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0012,hugofloresgarcia/music-trees,hugofloresgarcia/music-trees,https://github.com/hugofloresgarcia/music-trees,https://github.com/hugofloresgarcia/music-trees,Supplementary code for the experiments described in the 2021 ISMIR submission: Leveraging Hierarchical Structures for Few Shot Musical Instrument Recognition.,Hierarchische Lernverfahren für die Few-Shot-Erkennung von Musikinstrumenten.,instrument_recognition_and_datasets,"Instrument recognition, transcription, and datasets","Instrumentenerkennung, Transkription und Datensätze",core,active,,335755141,available,,False,False,False,main,Jupyter Notebook,MIT,[],41,3,2,2021-02-03T21:06:24Z,2022-08-12T16:19:51Z,2025-03-22T13:05:51Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0013,bdasgupta027/musical_instruments,bdasgupta027/musical_instruments,https://github.com/bdasgupta027/musical_instruments,https://github.com/bdasgupta027/musical_instruments,,"Organologie, Instrumententaxonomie, Ontologien oder Sammlungsdaten.",organology_and_instrument_knowledge,Organology and instrument knowledge,Organologie und Instrumentenwissen,core,active,,553261028,available,,False,False,False,main,JavaScript,,[],1,0,1,2022-10-18T00:48:32Z,2022-12-08T11:13:12Z,2024-06-19T23:36:34Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0014,comma-lab/timbre-resources,comma-lab/timbre-resources,https://github.com/comma-lab/timbre-resources,https://github.com/comma-lab/timbre-resources,,"Kuratiertes Verzeichnis von Werkzeugen, Datensätzen, Literatur und weiteren Ressourcen zur Klangfarbe.",meta_resources,Curated lists and meta-resources,Kuratierte Listen und Meta-Ressourcen,core,active,,718741395,available,,False,False,False,main,,,[],38,2,0,2023-11-14T17:52:25Z,2023-11-17T12:49:06Z,2026-02-22T21:59:25Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0015,Puara/GuitarAMI,Puara/GuitarAMI,https://github.com/Puara/GuitarAMI,https://github.com/Puara/GuitarAMI,The GuitarAMI is an Augmented Musical Instrument (AMI) using an acoustic guitar. The AMI is part of the Puara framework.,"Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,434967761,available,,False,False,False,main,C++,,[],3,1,3,2021-12-04T17:37:33Z,2026-04-17T15:27:52Z,2026-03-02T18:55:25Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0016,olivecha/guitarsounds,olivecha/guitarsounds,https://github.com/olivecha/guitarsounds,https://github.com/olivecha/guitarsounds,python library to analyse guitar sounds,Python-Paket zur akustischen Analyse von Gitarrenklängen für Forschung im Instrumentenbau.,musical_instrument_acoustics,Musical instrument acoustics,Musikinstrumentenakustik,core,active,,368305237,available,,False,False,False,main,Python,MIT,[],9,0,1,2021-05-17T19:49:47Z,2023-02-09T01:00:43Z,2026-01-25T07:29:58Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0017,pitchoilcan/Digidrumduino,pitchoilcan/Digidrumduino,https://github.com/pitchoilcan/Digidrumduino,https://github.com/pitchoilcan/Digidrumduino,An electronic steeldrum (Steelpan),"Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,58428228,available,https://digitalsteelpan.blogspot.com/,False,False,False,master,C++,CC0-1.0,"[""arduino"",""midi"",""musical-instruments"",""piezo"",""sensor"",""steelpan"",""tones""]",0,0,0,2016-05-10T03:51:40Z,2020-09-20T02:41:06Z,2020-09-20T02:41:08Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0018,reppr/pulses,reppr/pulses,https://github.com/reppr/pulses,https://github.com/reppr/pulses,harmonical music instrument using ESP32,"Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,8407157,available,,False,False,False,master,C,,"[""arduino"",""esp32"",""harmonical"",""interactive-art-projects"",""musical-instruments"",""synchronised-interactive-landscapes""]",4,0,4,2013-02-25T10:34:59Z,2025-06-03T13:31:26Z,2025-06-03T13:31:28Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0019,f-atwi/Stylophone,f-atwi/Stylophone,https://github.com/f-atwi/Stylophone,https://github.com/f-atwi/Stylophone,Proteus circuit design and implementation of a stylophone,"Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,213588121,available,,False,False,False,master,,,"[""555-timer"",""electronics"",""music"",""music-instruments"",""pcb-design"",""pcbway"",""proteus"",""proteus-v8"",""stylophone"",""toy-organ""]",0,0,0,2019-10-08T08:25:50Z,2021-05-10T09:20:03Z,2021-05-10T09:22:05Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0020,striso/striso-control-firmware,striso/striso-control-firmware,https://github.com/striso/striso-control-firmware,https://github.com/striso/striso-control-firmware,Firmware for the Striso board,"Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,230541078,available,https://www.striso.org,False,False,False,main,C,GPL-3.0,"[""firmware"",""midi-controller"",""mpe"",""music-instruments""]",27,8,3,2019-12-28T01:17:02Z,2026-01-01T16:01:15Z,2026-06-12T18:21:30Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0021,sandrolab/Coda-88,sandrolab/Coda-88,https://github.com/sandrolab/Coda-88,https://github.com/sandrolab/Coda-88,Minimal piano sound module with dynamics based on Arduino and WAV Trigger,"Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,504669277,available,https://youtu.be/3IshDsRlHGw,False,False,False,main,C++,MIT,"[""arduino"",""midi"",""music-instruments"",""piano"",""sampler"",""wav-trigger""]",57,7,0,2022-06-17T20:53:08Z,2024-02-18T23:08:11Z,2026-04-10T23:22:35Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0022,sichengchen/theremin,sichengchen/theremin,https://github.com/sichengchen/theremin,https://github.com/sichengchen/theremin,A browser-based Theremin controlled with hand tracking.,"Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,1255581325,available,https://theremin.scchan.moe,False,False,False,main,TypeScript,MIT,"[""musical-instrument"",""theremin""]",0,0,0,2026-06-01T01:39:37Z,2026-06-01T16:35:07Z,2026-06-01T16:39:24Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0023,bzelban/Theremin-AI,bzelban/Theremin-AI,https://github.com/bzelban/Theremin-AI,https://github.com/bzelban/Theremin-AI,Recreation of an instrument with Computer Vision and Deep Learning,"Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,317256130,available,,False,False,False,main,Python,,[],2,1,0,2020-11-30T14:54:21Z,2022-02-17T07:49:57Z,2025-01-13T22:23:48Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0024,bb82dabn/laserharp,bb82dabn/laserharp,https://github.com/bb82dabn/laserharp,https://github.com/bb82dabn/laserharp,"Browser laser harp and native VST3 instrument with mouse, keyboard, and MIDI string control.","Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,1198590849,available,https://bb82dabn.github.io/laserharp/,False,False,False,master,HTML,,"[""docker"",""docker-compose"",""javascript"",""music"",""real-time"",""virtual-instrument"",""web-audio""]",0,0,0,2026-04-01T15:09:18Z,2026-06-30T23:53:42Z,2026-06-30T23:53:45Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0025,Nikelroid/dastan-gesture-guitar,Nikelroid/dastan-gesture-guitar,https://github.com/Nikelroid/dastan-gesture-guitar,https://github.com/Nikelroid/dastan-gesture-guitar,"🎸 Play guitar with your bare hands — webcam gesture chords, Persian & flamenco rhythms, a theremin-style melody hand, and in-browser recording. One dependency-free HTML file.","Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,1264808707,available,,False,False,False,main,HTML,MIT,"[""gesture-recognition"",""guitar"",""hand-tracking"",""karplus-strong"",""mediapipe"",""music"",""persian-music"",""theremin"",""vanilla-javascript"",""virtual-instrument"",""web-audio-api"",""webcam""]",0,0,0,2026-06-10T07:43:59Z,2026-06-13T00:47:39Z,2026-06-13T00:47:42Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0026,YeshiNamkhai/ResonatingWithYou,YeshiNamkhai/ResonatingWithYou,https://github.com/YeshiNamkhai/ResonatingWithYou,https://github.com/YeshiNamkhai/ResonatingWithYou,"This repository offers an immersive sound experience designed to help people truly understand themself and their perception of the world. It is intended for reflective individuals, those familiar with meditation, and researchers who wish to experience their work through the depth of sound.",Skripte für datenbezogene Sonifikation und immersive quadrophonische Klangräume.,spatial_audio_and_auralization,Spatial audio and auralization,Räumliches Audio und Auralisierung,core,active,,1168588851,available,,False,False,False,main,Python,,[],12,1,0,2026-02-27T15:09:39Z,2026-04-03T08:21:47Z,2026-04-10T21:16:43Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0027,PlayNoise/PlayNoise.js,PlayNoise/PlayNoise.js,https://github.com/PlayNoise/PlayNoise.js,https://github.com/PlayNoise/PlayNoise.js,Creating music with the browser.  From Speech to Musical Instrument,"Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,870285392,available,https://playnoise.org,False,False,False,main,JavaScript,Apache-2.0,"[""browser"",""music"",""speech-processing"",""speech-synthesis""]",11,5,26,2024-10-09T19:04:31Z,2025-02-19T20:20:53Z,2026-05-08T21:49:39Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0028,nicorobo/Harmidi,nicorobo/Harmidi,https://github.com/nicorobo/Harmidi,https://github.com/nicorobo/Harmidi,"Harmidi is an in-browser MIDI controller that turns your computer keyboard into a multi-instrument workstation. Built for traveling musicians and harmony magicians, it offers a flexible and intuitive way to explore musical ideas while on the go or in the studio.","Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,707487578,available,https://nicorobo.github.io/Harmidi/,False,False,False,main,TypeScript,,"[""midi"",""midi-"",""midi-events"",""music"",""music-composition"",""musical-instrument""]",2,0,0,2023-10-20T02:29:03Z,2024-02-27T22:51:13Z,2025-11-20T21:59:02Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0029,MustafaLotfi/Paper-Piano,MustafaLotfi/Paper-Piano,https://github.com/MustafaLotfi/Paper-Piano,https://github.com/MustafaLotfi/Paper-Piano,"Using this program, you can play or control music by hand gesture. Also you can play a Paper Piano.","Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,582286333,available,,False,False,False,main,Python,Apache-2.0,"[""ai-music-box"",""ai-piano"",""augmented-reality"",""cool-project"",""hand-landmarks"",""hand-tracking"",""mediapipe"",""music-instruments"",""music-player"",""opencv"",""paper-piano"",""piano"",""piano-keyboard"",""virtual-keyboard"",""virtual-music-keyboard"",""virtual-music-studio"",""virtual-reality""]",94,8,0,2022-12-26T10:39:19Z,2026-08-01T08:09:35Z,2026-08-01T08:09:49Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0030,ViGAWorld-FR/ViGAWorld-ViGAPhone,ViGAWorld-FR/ViGAWorld-ViGAPhone,https://github.com/ViGAWorld-FR/ViGAWorld-ViGAPhone,https://github.com/ViGAWorld-FR/ViGAWorld-ViGAPhone,**ViGAPhone Synth Lab est un synthétiseur MIDI-MPE/VST3 réaliste d'instruments de musique et un outil pour les accordeurs de pianos. **ViGAPhone Synth Lab is a realistic musical instrument MIDI-MPE/VST3 synthesizer and a tool for piano-tuners and technicians.,MIDI-MPE- und VST3-Synthesizer für realistische Instrumentenklänge mit Funktionen für Klavierstimmung und -technik.,virtual_instruments_and_synthesis,Virtual instruments and sound synthesis,Virtuelle Instrumente und Synthese,core,active,,1082743737,available,https://vigaworld-fr.github.io/ViGAWorld-ViGAPhone/,False,False,False,main,HTML,NOASSERTION,"[""android"",""electronic-piano-tuning"",""linux"",""midi"",""musical-instruments"",""physical-modeling-synthesis"",""piano"",""piano-tuners"",""sound-design"",""synthesizer"",""tuner"",""vst3"",""vst3-plugin"",""windows""]",5,0,0,2025-10-24T17:44:52Z,2026-08-18T14:49:29Z,2026-08-18T14:53:29Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0031,sozbtn/physical-modelling-percussion-instrument,sozbtn/physical-modelling-percussion-instrument,https://github.com/sozbtn/physical-modelling-percussion-instrument,https://github.com/sozbtn/physical-modelling-percussion-instrument,"digital percussion instrument based on physical modelling synthesis, using sensel morph","Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,156390496,available,,False,False,False,master,Faust,,"[""faust"",""pure-data"",""sensel-morph""]",13,0,0,2018-11-06T13:48:30Z,2020-04-24T08:27:33Z,2026-03-12T16:24:45Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0032,SMCFY/DrumMachine,SMCFY/DrumMachine,https://github.com/SMCFY/DrumMachine,https://github.com/SMCFY/DrumMachine,Analysis and synthesis of percussion sounds with banded digital waveguide mesh,Analyse und Synthese von Schlagzeugklängen mit einem bandbegrenzten digitalen Wellenleiternetz.,virtual_instruments_and_synthesis,Virtual instruments and sound synthesis,Virtuelle Instrumente und Synthese,core,active,,84572771,available,,False,False,False,master,Max,,[],5,1,0,2017-03-10T15:18:34Z,2017-06-01T15:37:28Z,2025-08-30T17:49:35Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0033,SMCFY/fiddl,SMCFY/fiddl,https://github.com/SMCFY/fiddl,https://github.com/SMCFY/fiddl,"Sample based software instrument with real-time sound manipulation, utilizing touch gestures","Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,102650960,available,,False,False,False,master,C++,,[],5,1,0,2017-09-06T19:42:27Z,2020-04-07T15:37:17Z,2021-12-28T00:53:01Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0034,hughpyle/directsynth,hughpyle/directsynth,https://github.com/hughpyle/directsynth,https://github.com/hughpyle/directsynth,Additive synthesizer for Teensy,"Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,8255115,available,,False,False,False,master,C,MIT,[],13,3,0,2013-02-17T19:15:05Z,2013-02-18T02:30:17Z,2024-12-21T00:38:08Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0035,kimhinton/keystrum,kimhinton/keystrum,https://github.com/kimhinton/keystrum,https://github.com/kimhinton/keystrum,"Practice guitar chords without a guitar — in your browser. Strum 6 chords on your QWERTY keyboard. 4 rows = 4 strings, 6 columns = 6 chords. Karplus-Strong synthesis, strum detection, 3 folk songs. For beginners, DAW producers, teachers. MIT.","Entwurf, Hardware oder Steuerung physischer beziehungsweise augmentierter Musikinstrumente.",instrument_design_and_hardware,"Instrument design, hardware, and augmented instruments","Instrumentendesign, Hardware und augmentierte Instrumente",core,active,,1212142545,available,https://keystrum.app,False,False,False,main,TypeScript,MIT,"[""capacitor"",""chord-trainer"",""guitar-chords"",""karplus-strong"",""music-education"",""nextjs"",""pwa"",""qwerty-instrument"",""react"",""typescript"",""web-audio"",""web-audio-api""]",3,0,14,2026-04-16T05:19:52Z,2026-07-15T07:44:52Z,2026-06-29T10:13:58Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0036,GareBear99/Instrudio,GareBear99/Instrudio,https://github.com/GareBear99/Instrudio,https://github.com/GareBear99/Instrudio,"4 free VST3/AU synth plugins — physically modeled violin, piano, harp & bongos. Native JUCE DSP. MIDI input. Themed UI. Single-source-of-truth architecture.","Sammlung physikalisch modellierter Software-Instrumente für Violine, Klavier, Harfe und Bongos.",virtual_instruments_and_synthesis,Virtual instruments and sound synthesis,Virtuelle Instrumente und Synthese,core,active,,1186831431,available,https://garebear99.github.io/Instrudio/Instrudio_v2/,False,False,False,main,HTML,,"[""audio-plugin"",""audio-unit"",""daw"",""free-plugin"",""instrument"",""juce"",""midi"",""music"",""open-source"",""physical-modeling"",""synthesizer"",""vst"",""vst3"",""web-audio""]",6,1,1,2026-03-20T03:12:14Z,2026-07-01T19:57:15Z,2026-08-17T08:14:49Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0037,thestk/stk,thestk/stk,https://github.com/thestk/stk,https://github.com/thestk/stk,The Synthesis ToolKit in C++ (STK) is a set of open source audio signal processing and algorithmic synthesis classes written in the C++ programming language.,Synthesis ToolKit mit zahlreichen physikalisch modellierten Musikinstrumenten.,virtual_instruments_and_synthesis,Virtual instruments and sound synthesis,Virtuelle Instrumente und Synthese,core,active,,12895124,available,https://ccrma.stanford.edu/software/stk/,False,False,False,master,C++,NOASSERTION,[],1229,197,20,2013-09-17T12:54:47Z,2025-03-29T19:25:00Z,2026-08-19T16:13:53Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0038,Edinburgh-Acoustics-and-Audio-Group/ness,Edinburgh-Acoustics-and-Audio-Group/ness,https://github.com/Edinburgh-Acoustics-and-Audio-Group/ness,https://github.com/Edinburgh-Acoustics-and-Audio-Group/ness,Physical modelling synthesis code developed by the NESS project at the University of Edinburgh,Physikalische Modellierung und Synthese von Instrumenten und akustischen Räumen.,virtual_instruments_and_synthesis,Virtual instruments and sound synthesis,Virtuelle Instrumente und Synthese,core,active,,880377804,available,https://www.ness.music.ed.ac.uk/,False,False,False,main,C++,MIT,[],46,2,1,2024-10-29T16:03:56Z,2025-01-28T13:45:46Z,2026-07-29T14:54:04Z,2026-08-22,2026-08-25T15:30:14Z
GHIAO-0039,lucasw/tao_synth,lucasw/tao_synth,https://github.com/lucasw/tao_synth,https://github.com/lucasw/tao_synth,Sound synthesis with physical models - from http://taopm.sourceforge.net,"Virtuelles Musikinstrument, Synthesizer, Sampler oder Instrumenten-Framework.",virtual_instruments_and_synthesis,Virtual instruments and sound synthesis,Virtuelle Instrumente und Synthese,core,active,,145367137,available,,False,False,True,master,C++,GPL-2.0,"[""music"",""sound"",""sound-synthesis""]",11,2,12,2018-08-20T04:44:13Z,2020-06-13T14:31:53Z,2026-02-24T18:47:30Z,2026-08-22,2026-08-25T15:30:14Z
